agent_name,curriculum,alpha,gamma,epsilon,game_level,episode,total_time,avg_reward,percent_states_visited,total_reward,duration
sarsa,False,0.0,0.0,0.05,10,1,97,4.639175257731959,9.750566893424036,450,0.00037210618599423583
sarsa,False,0.0,0.0,0.05,10,2,100,5.5,10.657596371882086,550,0.00031637099978979675
sarsa,False,0.0,0.0,0.05,10,3,100,4.0,11.337868480725625,400,0.00030122800031676887
sarsa,False,0.0,0.0,0.05,10,4,100,11.4,12.01814058956916,1140,0.0003051670000422746
sarsa,False,0.0,0.0,0.05,10,5,100,5.6,12.01814058956916,560,0.0003023519995622337
sarsa,False,0.0,0.0,0.05,10,6,100,4.0,12.01814058956916,400,0.00031345699972007424
sarsa,False,0.0,0.0,0.05,10,7,92,1.8478260869565217,12.244897959183673,170,0.0004013793475915799
sarsa,False,0.0,0.0,0.05,10,8,70,5.285714285714286,12.244897959183673,370,0.00031512285682505794
sarsa,False,0.0,0.0,0.05,10,9,71,2.9577464788732395,12.698412698412698,210,0.0003088816900370302
sarsa,False,0.0,0.0,0.05,10,10,100,3.7,13.60544217687075,370,0.00030388699960894885
sarsa,False,0.0,0.0,0.05,10,11,100,3.2,13.83219954648526,320,0.0002975240000523627
sarsa,False,0.0,0.0,0.05,10,12,98,3.2653061224489797,16.099773242630384,320,0.0003196765301625567
sarsa,False,0.0,0.0,0.05,10,13,94,4.148936170212766,16.099773242630384,390,0.0003081063827886147
sarsa,False,0.0,0.0,0.05,10,14,100,6.7,18.140589569160998,670,0.00031778100004885344
sarsa,False,0.0,0.0,0.05,10,15,88,6.4772727272727275,18.140589569160998,570,0.0003140318182307634
sarsa,False,0.0,0.0,0.05,10,16,77,8.7012987012987,18.140589569160998,670,0.00030709999952126634
sarsa,False,0.0,0.0,0.05,10,17,92,2.608695652173913,18.140589569160998,240,0.0003088489130554397
sarsa,False,0.0,0.0,0.05,10,18,93,3.763440860215054,18.594104308390023,350,0.0003119913982577942
sarsa,False,0.0,0.0,0.05,10,19,100,4.9,18.820861678004537,490,0.00031394499994348736
sarsa,False,0.0,0.0,0.05,10,20,99,1.7171717171717171,18.820861678004537,170,0.00031707979823377997
sarsa,False,0.0,0.0,0.05,10,21,40,0.25,18.820861678004537,10,0.00036662249913206325
sarsa,False,0.0,0.0,0.05,10,22,92,4.021739130434782,18.820861678004537,370,0.000310878261149375
sarsa,False,0.0,0.0,0.05,10,23,25,-4.0,18.820861678004537,-100,0.0003199560008943081
sarsa,False,0.0,0.0,0.05,10,24,83,6.746987951807229,19.501133786848072,560,0.0003054903613975698
sarsa,False,0.0,0.0,0.05,10,25,89,1.9101123595505618,19.501133786848072,170,0.00032444606702565476
sarsa,False,0.0,0.0,0.05,10,26,97,7.835051546391752,19.501133786848072,760,0.00030632680354006207
sarsa,False,0.0,0.0,0.05,10,27,100,3.7,19.501133786848072,370,0.0003139360004570335
sarsa,False,0.0,0.0,0.05,10,28,100,5.4,24.71655328798186,540,0.0003054860001429915
sarsa,False,0.0,0.0,0.05,10,29,50,-1.6,24.94331065759637,-80,0.00034548600087873637
sarsa,False,0.0,0.0,0.05,10,30,70,5.857142857142857,24.94331065759637,410,0.00032573142920487694
sarsa,False,0.0,0.0,0.05,10,31,41,0.24390243902439024,24.94331065759637,10,0.0003222073172786977
sarsa,False,0.0,0.0,0.05,10,32,95,4.842105263157895,24.94331065759637,460,0.000319507368227565
sarsa,False,0.0,0.0,0.05,10,33,100,7.4,26.984126984126984,740,0.000309203999931924
sarsa,False,0.0,0.0,0.05,10,34,26,-4.615384615384615,26.984126984126984,-120,0.00034296922967769206
sarsa,False,0.0,0.0,0.05,10,35,93,1.8279569892473118,26.984126984126984,170,0.00032028494595539984
sarsa,False,0.0,0.0,0.05,10,36,100,7.8,36.054421768707485,780,0.0003337299998383969
sarsa,False,0.0,0.0,0.05,10,37,98,3.673469387755102,36.054421768707485,360,0.00031993571402771134
sarsa,False,0.0,0.0,0.05,10,38,94,4.25531914893617,36.054421768707485,400,0.00031927021274818704
sarsa,False,0.0,0.0,0.05,10,39,100,4.2,36.054421768707485,420,0.0003251920000184327
sarsa,False,0.0,0.0,0.05,10,40,75,2.2666666666666666,36.054421768707485,170,0.00031587333340818684
sarsa,False,0.0,0.0,0.05,10,41,74,2.2972972972972974,36.054421768707485,170,0.0003155932432934138
sarsa,False,0.0,0.0,0.05,10,42,100,8.7,36.054421768707485,870,0.00029641900036949667
sarsa,False,0.0,0.0,0.05,10,43,88,1.0227272727272727,36.054421768707485,90,0.0003652215911477635
